gene/TE	cytoplasmic_dmso_3hrs_1	cytoplasmic_dmso_3hrs_2	cytoplasmic_dmso_3hrs_3	cytoplasmic_kpt185_3hrs_1	cytoplasmic_kpt185_3hrs_2	cytoplasmic_kpt185_3hrs_3	nuclear_dmso_3hrs_1	nuclear_dmso_3hrs_2	nuclear_dmso_3hrs_3	nuclear_kpt185_3hrs_1	nuclear_kpt185_3hrs_2	nuclear_kpt185_3hrs_3
"ENSG00000165915.14"	324	238	304	197	324	247	140	153	180	194	248	120
"ENSG00000165916.9"	2151	1192	1669	1397	2085	1505	305	337	458	505	731	412
"ENSG00000165917.10"	0	0	0	2	2	1	0	1	0	9	9	4
"ENSG00000165923.17"	1	0	0	2	2	1	8	5	4	13	16	4
"ENSG00000165929.13"	1139	806	1030	867	1264	921	302	355	375	466	649	349
"ENSG00000165934.13"	4442	3072	4110	2835	4175	2942	720	780	952	861	1252	621
"ENSG00000165935.9"	5	2	7	4	5	6	10	9	11	11	15	8
"ENSG00000165943.5"	738	486	663	625	980	669	138	121	177	265	396	204
"ENSG00000165948.11"	69	47	77	67	100	77	90	90	90	104	167	101
"ENSG00000165949.13"	14	13	15	19	18	13	31	28	44	53	65	41
"ENSG00000165953.10"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000165959.12"	1027	652	887	787	1085	748	317	338	399	478	711	371
"ENSG00000165966.16"	1	0	1	0	1	0	2	1	1	1	0	0
"ENSG00000165970.12"	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000165972.13"	7	7	4	10	11	8	6	3	8	8	4	7
"ENSG00000165973.19"	3	2	3	2	3	1	4	3	4	1	1	3
"ENSG00000165983.15"	1123	614	932	778	1260	878	205	205	217	366	512	271
"ENSG00000165985.10"	12	4	2	3	6	2	1	4	1	5	2	0
"ENSG00000165995.23"	223	120	185	134	217	140	107	132	138	147	223	115
"ENSG00000165996.14"	158	114	164	130	197	130	74	77	98	104	136	86
"ENSG00000165997.5"	5122	3440	4748	4108	6199	4565	829	905	1072	1480	2068	1223
"ENSG00000166002.7"	175	111	156	114	179	135	30	35	29	19	56	24
"ENSG00000166004.15"	1054	632	945	857	1196	861	1059	1054	1390	1566	2452	1303
"ENSG00000166006.14"	0	0	0	0	0	0	0	3	0	0	0	0
"ENSG00000166007.11"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166012.17"	884	526	804	704	1048	672	1968	2057	2189	2372	3220	1922
"ENSG00000166013.11"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166016.6"	535	359	489	199	337	262	158	173	202	121	189	93
"ENSG00000166024.14"	414	234	371	264	390	266	191	219	253	264	430	208
"ENSG00000166025.18"	4434	2678	3749	2771	4383	2917	1072	1133	1408	1300	1932	966
"ENSG00000166033.13"	36	17	34	18	55	31	22	25	23	20	28	16
"ENSG00000166035.11"	0	0	0	0	0	0	0	0	0	1	0	0
"ENSG00000166037.11"	1151	667	892	935	1435	1000	402	501	522	657	874	543
"ENSG00000166046.11"	340	176	274	195	374	220	109	121	115	154	223	110
"ENSG00000166049.11"	0	0	0	0	0	1	0	0	0	0	0	0
"ENSG00000166068.13"	779	494	712	562	824	651	200	205	214	265	338	203
"ENSG00000166069.14"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166073.11"	400	235	333	235	382	263	99	82	114	110	158	75
"ENSG00000166086.13"	1004	632	811	713	1132	873	516	483	629	642	1001	493
"ENSG00000166090.8"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166091.21"	1	1	0	1	2	0	0	0	0	1	0	0
"ENSG00000166104.15"	0	0	1	0	0	0	0	0	0	1	1	0
"ENSG00000166105.16"	112	58	105	75	125	95	115	113	142	168	274	128
"ENSG00000166106.4"	90	77	83	45	53	55	94	87	89	57	84	57
"ENSG00000166111.10"	0	2	0	0	0	1	0	0	1	2	0	0
"ENSG00000166118.8"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166123.14"	1233	802	1088	725	1155	800	248	220	329	309	438	232
"ENSG00000166126.11"	0	0	3	2	2	1	3	1	3	0	3	1
"ENSG00000166128.13"	894	575	821	690	1064	679	160	133	172	221	324	143
"ENSG00000166130.15"	956	635	765	653	1038	711	428	442	556	561	799	486
"ENSG00000166133.18"	414	269	324	172	344	209	59	59	98	87	113	80
"ENSG00000166135.14"	3003	1846	2851	2184	3258	2223	1081	1155	1351	1431	2170	1156
"ENSG00000166136.16"	950	553	766	649	982	730	187	188	256	259	417	250
"ENSG00000166140.17"	204	127	197	175	297	164	88	112	116	180	260	129
"ENSG00000166143.10"	9	3	2	3	3	4	0	1	1	0	1	2
"ENSG00000166145.15"	62	34	57	47	85	43	19	23	39	45	54	15
"ENSG00000166147.15"	290	181	295	228	366	247	385	337	398	477	637	364
"ENSG00000166148.4"	2	1	2	3	3	1	2	0	0	1	6	2
"ENSG00000166152.4"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166153.17"	86	64	71	71	86	74	52	46	48	57	72	42
"ENSG00000166159.11"	2	1	1	1	3	0	0	3	0	0	1	1
"ENSG00000166160.9"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166164.16"	1794	1051	1487	1209	1793	1262	428	482	584	509	795	405
"ENSG00000166165.14"	24926	16826	21407	17387	25351	19381	5322	5060	6402	7597	10115	6433
"ENSG00000166166.13"	1191	700	1017	494	776	568	283	292	341	308	458	229
"ENSG00000166167.18"	1658	1048	1370	1071	1724	1159	378	407	500	537	784	408
"ENSG00000166169.17"	909	502	715	519	866	588	508	524	582	541	926	466
"ENSG00000166170.12"	1967	1228	1725	1016	1599	1131	400	402	439	523	667	406
"ENSG00000166171.13"	532	326	466	366	607	355	95	112	104	126	178	106
"ENSG00000166173.11"	778	463	636	459	750	460	137	125	173	166	227	132
"ENSG00000166181.13"	4497	3031	4119	3200	4748	3488	792	793	931	1040	1524	826
"ENSG00000166183.16"	0	0	1	0	0	0	0	0	2	0	1	0
"ENSG00000166188.3"	258	141	216	136	225	149	52	70	84	87	125	65
"ENSG00000166189.8"	888	552	818	441	722	468	125	179	163	178	289	194
"ENSG00000166192.15"	250	179	247	198	344	235	55	55	62	101	144	77
"ENSG00000166197.17"	8257	5130	6898	5280	7543	5498	1623	1539	2156	1973	2970	1704
"ENSG00000166199.13"	490	264	363	287	411	349	122	129	137	158	250	149
"ENSG00000166200.15"	3110	2103	2947	2141	3134	2364	613	713	855	962	1373	759
"ENSG00000166206.15"	954	582	850	683	1102	844	522	438	601	515	775	423
"ENSG00000166211.8"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166220.14"	0	0	1	0	1	1	1	0	0	0	1	0
"ENSG00000166224.17"	2307	1502	1964	1770	2622	1758	621	722	828	852	1206	641
"ENSG00000166225.9"	1501	923	1376	1227	1919	1356	332	367	391	538	679	416
"ENSG00000166226.13"	8191	5549	7361	6232	8438	6624	1900	2113	2534	2858	4076	2325
"ENSG00000166228.9"	1543	913	1352	1194	1791	1223	179	205	246	258	400	224
"ENSG00000166233.15"	4892	3198	4171	3458	5186	3652	1522	1666	1870	2099	3139	1693
"ENSG00000166246.14"	24	14	16	11	30	13	5	6	6	7	15	4
"ENSG00000166250.12"	363	233	390	252	378	290	99	119	116	88	147	78
"ENSG00000166257.10"	35	29	39	41	43	31	20	15	17	26	42	20
"ENSG00000166260.13"	1541	938	1427	1040	1594	1167	527	535	582	668	947	587
"ENSG00000166261.11"	344	205	289	193	283	186	234	255	249	247	388	197
"ENSG00000166262.16"	24	21	17	33	35	17	15	17	14	26	33	20
"ENSG00000166263.13"	1132	710	1005	803	1124	894	521	547	616	593	939	511
"ENSG00000166265.13"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166266.14"	2295	1450	1934	1646	2322	1706	457	547	611	649	831	455
"ENSG00000166268.11"	2	0	2	1	4	1	4	6	7	12	19	10
"ENSG00000166272.18"	780	497	685	511	790	543	169	161	233	189	264	152
"ENSG00000166275.16"	317	208	307	217	340	277	51	66	57	71	111	60
"ENSG00000166278.15"	38	19	30	26	51	30	15	21	20	30	39	20
"ENSG00000166289.6"	351	188	284	164	276	166	89	92	101	106	119	85
"ENSG00000166292.12"	78	36	62	57	78	74	19	16	18	38	43	18
"ENSG00000166295.9"	2286	1355	1913	1588	2302	1761	279	292	336	341	528	344
"ENSG00000166311.10"	138	72	110	88	130	101	60	50	67	46	121	41
"ENSG00000166313.20"	923	541	813	653	999	765	175	174	203	237	341	210
"ENSG00000166317.12"	1	0	0	3	6	0	1	2	2	2	0	0
"ENSG00000166321.14"	51	20	27	32	51	34	23	33	35	50	53	28
"ENSG00000166323.13"	28	11	22	24	44	20	15	19	17	17	31	16
"ENSG00000166326.7"	2499	1505	2086	1666	2579	1812	640	653	780	770	1189	622
"ENSG00000166329.3"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166333.14"	632	398	535	454	736	541	128	133	155	177	301	172
"ENSG00000166337.11"	591	342	505	308	592	421	172	191	224	155	256	135
"ENSG00000166340.18"	377	256	278	302	485	341	274	273	327	371	604	334
"ENSG00000166341.9"	36	25	31	29	49	31	28	24	32	37	61	33
"ENSG00000166342.19"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166343.10"	26	30	39	23	41	31	54	59	73	90	150	54
"ENSG00000166347.19"	500	294	425	344	541	399	77	94	128	124	168	106
"ENSG00000166348.20"	1383	874	1203	795	1359	886	378	398	491	434	692	329
"ENSG00000166349.10"	14	6	5	9	6	9	3	2	2	3	11	8
"ENSG00000166351.11"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166352.18"	190	112	157	120	201	164	69	69	78	103	159	106
"ENSG00000166359.11"	2	1	9	2	4	1	4	0	6	7	3	6
"ENSG00000166363.6"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166368.3"	1	0	1	3	0	1	5	4	4	6	9	2
"ENSG00000166377.21"	233	148	202	136	263	166	306	264	316	262	423	188
"ENSG00000166387.14"	58	17	28	18	36	25	23	15	12	13	31	8
"ENSG00000166391.15"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166394.15"	7	0	2	4	3	3	3	1	1	0	1	1
"ENSG00000166396.13"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166398.14"	2450	1530	2098	2150	3413	2376	655	707	774	1127	1681	925
"ENSG00000166401.15"	11	2	13	4	8	5	3	0	2	3	5	2
"ENSG00000166402.9"	1916	1242	1679	1949	3004	2070	849	888	977	1506	2289	1144
"ENSG00000166405.15"	19	23	18	15	30	23	64	72	79	73	106	49
"ENSG00000166407.14"	29	16	38	17	38	21	7	9	9	10	19	8
"ENSG00000166408.4"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166411.14"	3159	2096	2953	2247	3449	2488	709	674	824	849	1187	609
"ENSG00000166415.15"	0	2	2	0	5	4	0	2	2	1	6	1
"ENSG00000166426.8"	0	0	0	1	0	0	0	0	0	0	0	0
"ENSG00000166428.14"	0	0	1	0	2	2	1	0	0	1	2	1
"ENSG00000166432.16"	1	2	1	0	1	2	1	5	4	6	8	3
"ENSG00000166435.16"	150	92	147	102	173	115	61	67	74	89	129	71
"ENSG00000166436.17"	189	109	187	122	251	195	206	193	220	279	501	246
"ENSG00000166439.6"	1472	980	1339	932	1256	883	766	754	908	853	1317	704
"ENSG00000166441.13"	3567	2007	2804	2902	4055	2861	747	819	1042	1063	1684	936
"ENSG00000166444.19"	331	163	243	206	349	219	137	131	150	149	267	135
"ENSG00000166446.15"	475	300	419	305	442	326	121	124	169	156	200	99
"ENSG00000166448.15"	4	0	3	1	7	0	4	2	1	1	5	1
"ENSG00000166450.13"	724	474	672	701	1007	752	468	461	535	728	963	548
"ENSG00000166451.14"	1068	652	879	641	959	712	160	160	195	186	310	136
"ENSG00000166452.12"	368	190	298	230	351	235	99	89	100	87	144	90
"ENSG00000166454.10"	1394	799	1157	714	1185	744	247	251	293	283	378	209
"ENSG00000166455.14"	28	22	33	26	33	20	3	13	10	16	22	8
"ENSG00000166471.11"	734	477	644	526	768	654	460	491	557	637	808	518
"ENSG00000166473.17"	0	2	0	1	4	0	3	0	4	11	2	3
"ENSG00000166477.13"	264	144	182	209	307	198	67	70	81	90	160	99
"ENSG00000166478.10"	500	296	452	263	480	346	109	134	159	165	227	129
"ENSG00000166479.10"	739	537	697	618	986	708	799	907	937	1037	1456	839
"ENSG00000166482.12"	1	2	2	0	2	0	2	1	0	0	2	0
"ENSG00000166483.12"	1406	929	1271	1089	1715	1211	760	778	934	1028	1517	852
"ENSG00000166484.20"	420	260	395	232	387	245	107	119	156	143	215	112
"ENSG00000166492.9"	2	5	0	2	4	2	2	0	0	0	1	0
"ENSG00000166501.14"	378	251	319	305	440	277	64	79	100	97	134	67
"ENSG00000166503.9"	2867	1818	2467	1988	2924	2092	517	587	754	789	1150	620
"ENSG00000166507.19"	315	163	244	161	248	154	209	216	237	207	315	156
"ENSG00000166508.18"	11899	7551	10024	7935	12206	8777	3025	2976	3817	4274	6334	3549
"ENSG00000166509.12"	0	0	0	0	0	0	2	0	0	1	0	0
"ENSG00000166510.14"	80	43	69	74	100	84	17	21	24	31	41	29
"ENSG00000166523.8"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166526.18"	751	453	694	362	649	406	402	416	525	383	646	327
"ENSG00000166527.8"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166529.16"	337	192	286	167	303	240	81	79	98	89	155	82
"ENSG00000166530.8"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166532.16"	1180	724	1091	761	1114	799	904	1027	1118	1003	1458	826
"ENSG00000166535.20"	2	0	2	0	0	0	2	0	0	1	0	0
"ENSG00000166546.14"	26	10	20	18	21	16	3	3	8	8	19	3
"ENSG00000166548.17"	184	127	201	169	229	155	91	98	98	143	219	111
"ENSG00000166557.14"	1385	872	1185	811	1369	926	859	832	994	861	1210	736
"ENSG00000166558.11"	1	0	1	0	0	2	3	1	1	1	2	0
"ENSG00000166562.9"	443	283	377	352	551	378	110	95	147	132	203	99
"ENSG00000166569.8"	0	1	0	0	0	0	0	0	0	0	1	0
"ENSG00000166573.6"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166575.17"	742	516	715	545	866	622	414	391	441	521	698	369
"ENSG00000166578.10"	23	7	23	17	22	22	8	16	11	12	17	7
"ENSG00000166579.16"	825	486	744	555	857	598	368	386	464	520	728	389
"ENSG00000166582.11"	2569	1660	2214	1694	2719	1983	560	611	691	889	1206	678
"ENSG00000166589.13"	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000166592.12"	4	1	1	1	0	0	0	0	1	1	1	1
"ENSG00000166595.12"	883	519	796	643	944	614	110	124	121	134	245	128
"ENSG00000166596.15"	1	0	0	0	0	0	3	1	1	2	1	1
"ENSG00000166598.16"	6421	4348	5181	5247	7653	5658	5587	5779	7438	7639	10675	6512
"ENSG00000166603.5"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166619.15"	746	447	639	414	707	445	264	244	264	259	391	228
"ENSG00000166634.7"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166664.15"	67	29	69	40	80	47	32	53	32	55	85	44
"ENSG00000166669.14"	331	263	277	309	474	320	141	185	217	367	535	288
"ENSG00000166670.10"	1	0	1	1	5	1	0	0	0	0	2	1
"ENSG00000166676.17"	3	0	2	2	0	1	0	0	0	0	1	1
"ENSG00000166681.14"	1839	1168	1566	1538	2083	1502	298	326	425	506	628	395
"ENSG00000166682.13"	4	2	6	2	7	6	22	20	11	22	32	26
"ENSG00000166685.13"	658	430	567	401	683	468	237	221	288	315	431	226
"ENSG00000166689.16"	737	389	648	443	665	436	378	367	380	345	544	298
"ENSG00000166693.7"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166704.13"	382	239	321	266	421	308	210	229	257	268	476	236
"ENSG00000166707.12"	20	9	17	8	11	15	15	9	10	13	25	15
"ENSG00000166710.22"	1983	1382	1774	1495	2346	1728	1035	1086	1186	1466	1875	1282
"ENSG00000166716.10"	2455	1497	2220	1374	2236	1520	635	630	770	708	1061	551
"ENSG00000166734.20"	2315	1508	2173	1693	2630	1819	434	506	583	587	904	487
"ENSG00000166736.12"	7	7	9	11	7	6	4	0	4	2	3	1
"ENSG00000166741.8"	0	0	0	0	0	0	0	0	2	1	1	0
"ENSG00000166743.10"	0	0	0	0	4	0	0	0	0	1	1	1
"ENSG00000166747.13"	4030	2560	3484	2654	3955	2856	962	947	1110	1238	1800	945
"ENSG00000166750.10"	377	219	297	232	345	279	97	104	109	147	235	124
"ENSG00000166762.19"	38	30	40	38	62	39	77	82	108	122	180	74
"ENSG00000166763.8"	0	0	3	0	1	3	2	6	1	8	0	0
"ENSG00000166770.12"	186	111	160	144	223	143	63	74	83	112	172	99
"ENSG00000166780.11"	92	58	52	56	99	49	12	15	18	22	24	11
"ENSG00000166783.22"	1923	1224	1701	1779	2815	1860	490	526	659	1023	1518	757
"ENSG00000166787.3"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166788.10"	697	419	584	519	720	558	221	206	260	270	389	233
"ENSG00000166793.13"	3	0	0	2	5	1	2	1	0	8	7	2
"ENSG00000166794.6"	2043	1275	1658	1421	2253	1568	1034	1086	1387	1275	1900	1314
"ENSG00000166796.12"	47	32	46	34	59	30	7	8	13	10	25	14
"ENSG00000166797.11"	787	449	678	552	826	592	119	130	148	166	244	144
"ENSG00000166800.11"	0	0	0	1	1	0	0	0	0	0	1	0
"ENSG00000166801.17"	80	44	85	41	91	54	39	31	45	76	126	74
"ENSG00000166803.14"	1281	849	1139	964	1362	1065	220	231	297	357	504	317
"ENSG00000166813.16"	889	521	766	373	600	416	332	310	419	313	476	255
"ENSG00000166816.15"	12	6	9	7	11	5	3	3	5	11	17	5
"ENSG00000166819.12"	10	7	10	5	13	0	8	10	10	7	25	13
"ENSG00000166821.9"	252	148	231	204	284	204	91	84	83	142	158	105
"ENSG00000166822.13"	675	460	573	559	859	619	183	243	254	331	401	270
"ENSG00000166823.6"	53	29	48	45	101	67	5	12	10	12	24	13
"ENSG00000166825.15"	4	5	7	1	6	3	1	3	1	1	3	4
"ENSG00000166828.3"	0	1	1	1	3	2	0	1	0	0	2	0
"ENSG00000166831.9"	505	284	438	325	529	381	34	42	59	56	85	46
"ENSG00000166833.23"	507	274	403	369	527	406	160	187	150	204	292	142
"ENSG00000166839.17"	16	5	6	6	17	9	8	8	8	7	26	7
"ENSG00000166840.14"	5	1	5	9	6	8	8	4	4	8	15	9
"ENSG00000166845.15"	402	291	366	353	500	369	128	156	147	184	285	147
"ENSG00000166847.10"	3711	2424	3268	2361	3678	2513	1009	935	1089	1169	1709	892
"ENSG00000166848.7"	1554	1011	1353	1123	1708	1188	272	239	329	420	513	310
"ENSG00000166851.15"	5254	3121	4436	3889	6321	4199	798	839	1130	1336	1967	1134
"ENSG00000166855.9"	1465	900	1240	1000	1511	1072	243	262	356	355	561	321
"ENSG00000166856.3"	0	0	0	0	0	0	1	0	1	0	0	0
"ENSG00000166860.3"	1170	733	1077	672	1154	698	367	354	412	465	661	364
"ENSG00000166862.7"	0	1	0	0	1	0	0	0	0	0	0	0
"ENSG00000166863.13"	0	1	4	2	2	1	4	2	3	1	4	4
"ENSG00000166866.13"	8	5	4	5	8	7	16	9	12	23	27	18
"ENSG00000166869.3"	4	0	2	4	1	4	0	1	1	2	3	0
"ENSG00000166881.10"	2764	1919	2434	2176	3166	2260	1962	2001	2313	2781	3552	2120
"ENSG00000166884.3"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166886.13"	253	140	201	154	268	161	53	86	72	76	100	75
"ENSG00000166887.16"	1656	976	1422	1102	1812	1186	419	416	495	539	810	429
"ENSG00000166888.12"	94	44	71	40	96	72	21	19	36	44	63	44
"ENSG00000166889.14"	1718	1139	1474	1135	1728	1234	295	316	381	403	618	363
"ENSG00000166896.9"	205	96	156	179	245	161	30	34	41	56	82	36
"ENSG00000166897.16"	78	49	63	42	89	64	18	19	25	23	42	31
"ENSG00000166900.17"	598	360	545	439	676	492	139	163	165	199	263	142
"ENSG00000166902.5"	1055	602	883	732	1156	769	129	135	154	231	322	181
"ENSG00000166908.18"	1027	625	858	659	1033	691	219	215	278	276	392	207
"ENSG00000166912.17"	420	231	413	322	467	367	157	157	202	198	294	142
"ENSG00000166913.13"	6705	4370	6107	4486	6888	4838	814	802	1024	1042	1601	923
"ENSG00000166917.11"	0	0	0	0	0	0	0	0	0	1	0	0
"ENSG00000166920.13"	8	8	1	3	10	4	4	3	1	3	3	4
"ENSG00000166922.9"	2	5	2	1	7	1	8	7	11	10	23	3
"ENSG00000166923.12"	1	0	1	0	4	0	1	1	0	3	6	1
"ENSG00000166924.9"	34	28	42	38	39	42	8	10	17	22	30	16
"ENSG00000166925.9"	1120	700	946	800	1331	962	175	161	230	333	474	244
"ENSG00000166926.9"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166927.13"	0	0	0	0	0	0	1	0	0	0	0	0
"ENSG00000166928.11"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166930.7"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166938.13"	1262	801	1070	810	1241	879	234	248	314	368	570	267
"ENSG00000166946.14"	782	506	742	539	946	662	211	224	274	326	464	252
"ENSG00000166947.15"	0	0	0	0	0	1	0	0	0	0	0	0
"ENSG00000166948.10"	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000166949.17"	2040	1308	1892	1307	1927	1286	661	689	714	768	1158	581
"ENSG00000166959.8"	1	0	4	0	0	2	0	0	0	0	0	2
"ENSG00000166960.17"	6	8	6	12	12	11	9	11	12	7	13	16
"ENSG00000166961.15"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000166963.13"	1048	621	936	721	1209	780	158	142	237	256	393	192
"ENSG00000166965.13"	806	465	713	508	784	525	307	309	311	399	574	319
"ENSG00000166971.17"	355	235	333	270	376	290	84	121	140	135	183	99
"ENSG00000166974.13"	1742	1063	1549	1200	1970	1303	297	293	358	439	649	368
"ENSG00000166979.13"	102	59	84	45	67	40	57	60	64	61	75	39
"ENSG00000166984.12"	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000166986.15"	4635	3071	3999	2774	4466	3072	1888	1904	2281	1938	2729	1533
"ENSG00000166987.15"	1556	902	1244	1286	1896	1290	220	181	285	316	534	264
"ENSG00000166997.8"	120	64	105	71	136	85	66	63	98	95	133	83
"ENSG00000167004.14"	2372	1572	1969	1796	2754	1973	1742	1881	2452	2356	3434	1968
"ENSG00000167005.14"	2755	1831	2519	2122	3025	2181	433	437	539	671	966	555
"ENSG00000167011.9"	0	0	0	0	0	0	0	0	0	0	2	0
"ENSG00000167014.11"	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000167034.10"	163	105	116	75	157	107	17	27	32	37	52	27
"ENSG00000167037.19"	63	47	53	56	83	41	41	34	46	54	70	40
"ENSG00000167046.4"	2	2	1	3	4	5	0	2	3	2	6	4
"ENSG00000167065.14"	165	92	135	92	133	112	43	51	49	56	95	47
"ENSG00000167074.15"	186	151	173	90	189	124	38	51	53	55	77	53
"ENSG00000167077.13"	7	3	1	5	5	5	4	6	2	8	10	4
"ENSG00000167080.9"	1	0	0	1	2	1	1	2	6	5	7	2
"ENSG00000167081.18"	794	495	685	597	898	678	399	425	485	568	837	444
"ENSG00000167083.7"	1	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000167085.13"	5610	3690	5058	3915	6036	4345	981	1015	1314	1528	1988	1168
"ENSG00000167088.11"	1670	1090	1561	1306	1820	1302	237	221	323	359	568	341
"ENSG00000167094.16"	1	1	0	0	0	1	0	0	0	1	1	0
"ENSG00000167098.12"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000167100.15"	68	28	60	40	62	49	22	24	26	41	54	39
"ENSG00000167103.12"	30	28	29	17	18	25	36	47	44	36	71	34
"ENSG00000167104.11"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000167105.8"	8	6	7	6	7	9	6	0	1	6	3	1
"ENSG00000167106.12"	456	252	328	195	336	230	101	96	117	110	177	54
"ENSG00000167107.13"	298	205	282	172	302	212	141	154	179	191	252	154
"ENSG00000167110.19"	467	279	336	349	519	368	158	149	218	239	357	175
"ENSG00000167112.10"	918	545	837	698	1015	726	113	122	154	222	301	200
"ENSG00000167113.11"	879	431	700	481	790	513	329	335	414	398	655	293
"ENSG00000167114.13"	1004	620	865	471	781	562	239	233	346	225	289	156
"ENSG00000167117.10"	2	3	2	0	0	4	0	0	0	0	0	0
"ENSG00000167118.11"	956	587	855	636	996	675	181	164	216	253	402	207
"ENSG00000167123.20"	820	517	657	582	880	569	472	480	569	557	832	457
"ENSG00000167130.18"	929	534	790	381	726	447	465	419	558	407	569	321
"ENSG00000167131.17"	47	24	38	25	36	35	14	14	16	16	24	11
"ENSG00000167136.7"	502	294	395	233	428	328	78	87	110	114	131	104
"ENSG00000167139.9"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSG00000167157.11"	8	3	2	4	9	6	1	0	0	4	0	0
"ENSG00000167165.19"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000167173.19"	3644	2119	3057	1717	2770	1873	784	668	934	794	1285	615
"ENSG00000167178.17"	7	4	2	6	3	5	0	1	3	1	5	1
"ENSG00000167182.16"	1073	617	939	658	1045	673	135	128	184	161	246	132
"ENSG00000167183.3"	1	2	0	0	2	2	0	0	0	0	1	0
"ENSG00000167186.11"	1193	738	1155	850	1383	945	223	239	283	305	488	248
"ENSG00000167191.12"	341	188	301	269	419	241	135	139	169	185	274	151
"ENSG00000167193.8"	2607	1625	2315	1311	1946	1393	334	327	462	405	567	340
"ENSG00000167194.8"	0	0	0	0	0	0	0	0	0	1	2	0
"ENSG00000167195.8"	1	0	0	0	2	1	0	4	0	3	2	0
"ENSG00000167196.14"	1605	1089	1516	1070	1721	1189	1096	1161	1327	1084	1674	877
"ENSG00000167202.12"	1191	716	955	758	1243	836	379	380	439	497	676	363
"ENSG00000167207.14"	4	1	7	4	8	10	5	4	4	6	7	4
"ENSG00000167208.16"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000167210.17"	0	0	0	0	0	0	1	0	0	3	1	0
"ENSG00000167216.19"	115	69	88	75	101	76	52	45	70	70	112	58
"ENSG00000167220.12"	452	339	406	375	539	415	138	165	182	188	298	161
"ENSG00000167232.14"	1119	707	933	779	1278	910	418	473	593	686	1052	538
"ENSG00000167244.21"	64	34	51	44	72	47	3	2	14	13	13	8
"ENSG00000167257.11"	804	493	689	489	816	519	201	190	212	225	389	199
"ENSG00000167258.15"	5923	3599	5147	3758	5981	4022	1762	1736	2249	2372	3677	1973
"ENSG00000167261.14"	0	0	0	1	1	0	0	1	0	2	1	0
"ENSG00000167264.18"	381	217	285	188	320	217	163	131	165	168	282	132
"ENSG00000167272.11"	723	463	653	498	736	504	159	219	205	222	361	206
"ENSG00000167280.17"	389	210	388	224	368	272	272	256	334	333	500	267
"ENSG00000167281.20"	136	88	101	95	144	103	25	31	38	27	59	28
"ENSG00000167283.9"	1216	731	1028	898	1225	912	182	190	286	239	417	234
"ENSG00000167286.10"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000167291.16"	3140	1903	2728	1917	3078	2070	794	781	917	866	1268	697
"ENSG00000167302.11"	462	276	371	211	341	277	245	245	289	322	513	256
"ENSG00000167306.20"	1569	884	1373	1090	1668	1133	306	300	347	357	528	278
"ENSG00000167311.14"	24	11	12	14	21	14	10	7	13	11	15	16
"ENSG00000167315.18"	1733	1107	1416	1293	1914	1415	229	231	340	411	590	338
