gene/TE	cytoplasmic_dmso_3hrs_1	cytoplasmic_dmso_3hrs_2	cytoplasmic_dmso_3hrs_3	cytoplasmic_kpt185_3hrs_1	cytoplasmic_kpt185_3hrs_2	cytoplasmic_kpt185_3hrs_3	nuclear_dmso_3hrs_1	nuclear_dmso_3hrs_2	nuclear_dmso_3hrs_3	nuclear_kpt185_3hrs_1	nuclear_kpt185_3hrs_2	nuclear_kpt185_3hrs_3
"ENSG00000005020.13"	1672	1076	1341	1236	1769	1209	349	373	430	520	796	390
"ENSG00000005022.6"	8464	5510	7420	5655	8478	6231	1102	1153	1544	1603	2215	1336
"ENSG00000005059.16"	1070	650	981	707	1070	829	143	150	152	204	268	167
"ENSG00000005073.6"	958	617	821	559	862	603	160	158	216	246	328	195
"ENSG00000005075.16"	662	360	550	461	712	462	64	53	78	97	118	61
"ENSG00000005100.13"	3546	2232	3144	2074	3187	2188	656	655	862	750	1162	641
"ENSG00000005102.14"	13	10	11	6	16	6	5	3	6	1	5	0
"ENSG00000005108.17"	17	11	5	13	8	16	15	20	16	26	31	16
"ENSG00000005156.12"	4759	2930	4187	3074	4789	3240	1231	1186	1458	1399	2132	1009
"ENSG00000005175.10"	1594	1002	1411	1140	1618	1168	455	446	575	654	913	475
"ENSG00000005187.12"	107	59	95	83	129	80	8	16	16	20	33	21
"ENSG00000005189.20"	466	285	390	311	517	337	182	200	210	260	423	221
"ENSG00000005194.15"	1294	833	1138	722	1099	810	309	298	317	314	424	258
"ENSG00000005206.17"	370	206	309	191	363	243	336	317	406	354	610	310
"ENSG00000005238.20"	39	23	36	58	75	53	12	24	11	27	46	18
"ENSG00000005243.10"	6	1	7	1	7	3	8	5	12	10	23	9
"ENSG00000005249.13"	1866	1190	1569	1413	1924	1433	329	326	374	486	556	409
"ENSG00000005302.19"	958	626	794	713	1053	740	336	352	372	435	704	396
"ENSG00000005339.15"	5364	3192	4565	3809	6045	3917	1379	1310	1817	1786	2772	1405
"ENSG00000005379.17"	0	1	0	0	1	0	1	2	5	1	6	1
"ENSG00000005381.8"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005421.9"	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000005436.14"	1194	820	1220	811	1352	1044	368	308	404	420	589	356
"ENSG00000005448.17"	247	171	259	194	281	224	49	68	92	94	134	71
"ENSG00000005469.12"	244	175	221	172	325	192	122	101	132	143	204	105
"ENSG00000005471.19"	79	39	60	48	73	41	49	62	47	52	84	44
"ENSG00000005483.22"	1856	1113	1559	1365	1848	1317	698	775	881	950	1422	714
"ENSG00000005486.17"	649	407	592	410	630	457	231	230	279	203	306	164
"ENSG00000005513.10"	102	67	130	62	113	60	29	21	22	28	48	30
"ENSG00000005700.15"	4321	2777	3819	3158	4454	3209	1249	1354	1577	1689	2226	1330
"ENSG00000005801.18"	829	511	793	484	794	538	458	516	623	496	867	468
"ENSG00000005810.19"	4101	2590	3510	2661	4189	2773	1694	1708	2005	1925	2871	1497
"ENSG00000005812.11"	1251	837	1197	1078	1650	1257	305	331	391	556	746	442
"ENSG00000005844.19"	0	2	2	2	7	0	0	1	1	1	1	0
"ENSG00000005882.12"	883	578	722	607	946	664	146	155	166	199	296	170
